Time_Taken,Failed_Attempts,IP_Change,Typing_Speed,Device_Type,Browser_Type,Login_Hour,Weekend_Login,Anomaly
9.327104367983356,0,0,98.55354797903925,1,2,13,1,0
3.6740674002956246,0,0,80.12174574357292,1,0,10,1,0
6.826193789439314,2,0,77.03791023284762,0,1,16,0,0
23.418678983691194,4,1,34.85109914987999,0,2,22,1,1
5.433345571714176,0,0,84.5246612907677,0,0,19,0,0
2.94500449037516,0,0,84.82048299823519,0,2,15,0,0
22.18386865100934,4,1,35.991713222199664,0,0,6,1,1
2.656495010880732,0,0,66.24185368068434,0,1,14,1,0
4.764261951620117,0,0,81.6851690415925,0,0,16,0,0
5.211451736271863,2,0,96.55499944494852,0,0,8,0,0
9.342814796372885,0,0,75.70718198436622,0,1,13,1,0
9.169173428203013,2,0,90.45560117677756,1,2,14,0,0
23.575551904171906,4,1,37.09225044731876,1,0,22,1,1
26.397204694273086,3,1,32.202117660115505,0,2,23,1,1
8.996170023721994,1,0,63.21867983421275,0,1,7,0,0
20.203059552060534,3,1,48.1540389726556,1,0,21,1,1
19.629725706614302,4,1,47.40884982837105,0,0,6,1,1
17.712132193616654,4,1,39.869609251911,0,1,6,1,1
6.195661575892556,0,0,98.30406218893037,0,2,6,1,0
23.053676127510734,3,1,47.25686041827184,1,1,8,0,1
6.422573854042666,0,0,93.32338508314758,0,1,18,0,0
1.482700942314688,0,0,67.56404116138224,0,1,21,0,0
26.443712541909264,4,1,37.14853988811129,1,0,13,1,1
2.1696854451968584,0,0,70.14170319259385,0,0,11,0,0
2.084380402490001,2,0,66.73381904593766,0,0,11,0,0
8.166206116166762,0,0,81.71456914116155,1,1,16,0,0
5.459071580128801,0,0,93.93501894705015,0,1,15,1,0
1.7105956956501154,1,0,80.15546282574708,1,0,14,0,0
1.7950066718865565,0,0,74.07139208301255,0,1,17,1,0
16.415952296374346,3,1,20.71499802633853,1,2,18,1,1
6.4427109867959365,0,0,72.96075630005498,0,0,12,0,0
4.996525079482823,0,0,68.02983483779681,0,2,6,1,0
9.723527590479648,0,0,71.93182332819121,0,0,7,0,0
24.80795283711982,3,1,28.876144890941287,0,2,11,1,1
4.408896164961961,0,0,94.33420053485818,0,1,7,0,0
2.1765544976760327,1,0,97.339909953305,0,2,19,0,0
28.901405314260142,4,1,32.48652299909631,0,1,15,0,1
1.9752588956551778,1,0,89.30001218796042,1,0,9,1,0
1.6111866491119171,0,0,94.447764931524,0,1,15,1,0
6.45630368299972,0,0,71.39819868191303,0,1,12,0,0
1.725290655984697,0,0,95.02919783186832,0,1,10,1,0
1.6755662722717493,0,0,61.48193013014573,0,0,6,0,0
3.5530635024291435,0,0,98.97261291168891,0,0,12,0,0
1.1957212085675444,0,0,71.5803513720904,0,2,6,1,0
6.0256629836576465,0,0,98.29028764690779,0,2,9,0,0
9.445443978122729,2,0,92.06090867490057,1,1,13,0,0
3.6596109769946787,0,0,83.0438409892216,0,1,6,1,0
7.777186582272233,1,0,96.15311789717647,0,0,7,0,0
2.680791727401238,0,0,72.41118967894843,0,1,15,0,0
3.9295390642064145,0,0,73.36290703852524,0,1,16,0,0
7.006707802612499,0,0,97.04142779794927,0,2,17,0,0
22.676580414377163,4,1,33.784819372446904,0,2,7,0,1
6.996156716670461,0,0,69.19715068411797,0,0,8,0,0
7.240702809288405,0,0,88.7824303261429,0,1,12,0,0
1.5405004704527436,0,0,81.66816720316442,0,1,6,0,0
5.6335897266210715,0,0,92.5242469255583,0,1,12,0,0
7.200509593752686,1,0,76.52794809053898,0,1,9,1,0
3.7571866994060383,0,0,95.14120038645656,0,1,18,0,0
